Plant ID,Plant Code,Botanical Name,Common Name,Previous Name,Plant Type,Water Needs,Climate Zones,Light Needs,Soil Type,Soil Additional,Maintenance,Abcission,Height Ranges,Spread Ranges,Flower colour,Foliage Colour,Perfume,Aromatic,Edible,Bird Attracting,Bird Attractant,Bore water Tolerance,Frost Tolerance,Greywater Tolerance,Native,Butterfly Attracting,Butterfly Type,Image,Image Location,Image Owner,Herb External Have,Herb Images change to ,Notes,Why photo removed,Why plant removed,Actioned By,Date Actioned,Status
12,ABEEVE,Abelmoschus rugosus 'Evergreen',Rose Musk Mallow,,Shrub,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",,Medium,Evergreen,0.5 to 1m,1 to 2m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/12_abelmoschus_rugosus_evergreen.jpg,Paul Plant,,,,,,,,Active
13,ABIPRO,Abies procera,Noble Fir,,Medium Tree,1400 to 2000mm,Temperate,Sun,Loam,,Low,Evergreen,5 to 8m,1 to 2m,Insignificant,Grey-green,Unknown,Yes,Unknown,Unknown,,No,Medium,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
14,ABRANG,Abroma augusta,Devil's Cotton,,Small Tree,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",,Medium,Evergreen,1 to 2m,1 to 2m,Maroon,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
15,ABUMEG,Abutilon megapotamicum,Big River Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,0.5 to 1m,1 to 2m,Yellow and red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/15_abutilon_megapotamicum.jpg,Paul Plant,,,,,,,,Active
16,ABUVAR,Abutilon megapotamicum 'Variegatum',Variegated Big River Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate","Sun,Semi-shade",Loam,,Medium,Evergreen,0.5 to 1m,1 to 2m,Yellow and red,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
17,ABUOXY,Abutilon oxycarpum,Small Flowered Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Medium,Unknown,No,Unknown,Unknown,Yes,images/17_abut_oxyc_img_.jpg,Department of Environment and Resource Management,Don Butler,,,,,,,Active
18,ABUBOU,Abutilon x hybridum 'Boule de Neige',White Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,White,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
19,ABUGOL,Abutilon x hybridum 'Golden Fleece',Yellow Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,Yes,images/19_abutilon_x_hybridum_golden_fleece.jpg,Paul Plant,,,,,,,,Active
20,ABUORA,Abutilon x hybridum 'Orange',Orange Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Orange,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,Yes,images/20_abutilon_x_hybridum_orange.jpg,Paul Plant,,,,,,,,Active
21,ABURED,Abutilon x hybridum 'Red',Red Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Red,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,Yes,images/21_abutilon_x_hybridum_red.jpg,Paul Plant,,,,,,,,Active
22,ABUSAV,Abutilon x hybridum 'Savitzii',Variegated Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Orange,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,Yes,images/22_abutilon_x_hybridum_savitzii.jpg,Arno King,,,,,,,,Active
23,ABUSOU,Abutilon x hybridum 'Souvenir de Bonne',Variegated Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Orange,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
24,ABUTHO,Abutilon x hybridum 'Thompsonii',Pink Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Orange,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
25,ABUTUN,Abutilon x hybridum 'Tunisia',Pink Abutilon,,Shrub,1400 to 2000mm,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Pink,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Light,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
26,ACAAUL,Acacia aulacocarpa,Short Hickory Wattle,,Small Tree,600 to 900mm,"Dry Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,Well drained,High,Evergreen,2 to 5m,3 to 5m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Light,Unknown,Yes,Unknown,Unknown,Yes,images/26_acacia_aulacocarpa.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
27,ACABAI,Acacia baileyana,Cootamundra Wattle,,Small Tree,300 to 600mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,5 to 10m,Yellow,Silver  ,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/27_acacia_baileyana.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
28,ACAPUR,Acacia baileyana 'Purpurea',Purple Tip Cootamundra Wattle,,Small Tree,300 to 600mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,5 to 10m,Yellow,Silver and purple,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,http://www.anbg.gov.au/photo/apii/name/Acacia+baileyana+'Purpurea'%25,National Herbarium,,,,,,,,Active
29,ACAPRO,Acacia baileyana 'Prostrate',Prostrate Cootamundra Wattle,,Small Tree,300 to 600mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,5 to 10m,Yellow,Silver ,Yes,Unknown,Unknown,Yes,Seeds,Yes,Light,Unknown,Yes,Unknown,Unknown,Yes,images/29_acacia_baileyana_prostrate.jpg,Arno King,,,,,,,,Active
30,ACACOM,Acacia complanata,Flat-stemmed Wattle,,Small Tree,900 to 1400mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,2 to 5m,2 to 3m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/30_acacia_complanata.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
31,ACADEC,Acacia decora,Pretty Wattle,,Small Tree,300 to 600mm,"Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",Well drained,Medium,Evergreen,2 to 5m,2 to 3m,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/31_acac_deco_hab_img_.jpg,Department of Environment and Resource Management,Don Butler,,,,,,,Active
32,ACAELA,Acacia elata,Cedar Wattle,,Small Tree,900 to 1400mm,"Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,8 to 15m,3 to 5m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/32_acacia_elata.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
33,ACAFIM,Acacia fimbriata,Brisbane Wattle,,Small Tree,900 to 1400mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,2 to 5m,2 to 3m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/33_acacia_fimbriata.jpg,Paul Plant,,,,,,,,Active
34,ACAFID,Acacia fimbriata 'Dwarf',Dwarf Brisbane Wattle,,Shrub,900 to 1400mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,1 to 2m,1 to 2m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
35,ACAHAR,Acacia harpophylla,Brigalow,,Medium Tree,100 to 300mm,"Dry Subtropical,Desert",Sun,"Sand,Loam,Clay",Well drained,Medium,Evergreen,8 to 15m,5 to 10m,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Light,Unknown,Yes,Unknown,Unknown,Yes,http://www.anbg.gov.au/photo/apii/name/Acacia+harpophylla%25,National Herbarium,,,,,,,,Active
36,ACAHOL,Acacia holosericea,Silver Leaf Wattle,,Small Tree,600 to 900mm,"Dry Tropical,Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",,Medium,Evergreen,5 to 8m,3 to 5m,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Light,Unknown,Yes,Unknown,Unknown,Yes,images/36_acacia_holosericea.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
37,ACALEI,Acacia leiocalyx,Black Wattle,,Small Tree,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,2 to 5m,3 to 5m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Light,Unknown,Yes,Yes,,Yes,images/37_acacia_leiocalyx.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
38,ACAMAC,Acacia macradenia,Zig Zag Wattle,,Small Tree,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,3 to 5m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/38_acacia_macradenia.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
39,ACAMAI,Acacia maidenii,Maiden's Wattle,,Small Tree,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,5 to 10m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/39_acacia_maidenii.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
40,ACAPEN,Acacia pendula,Weeping Myall,,Small Tree,100 to 300mm,"Dry Subtropical,Desert,Temperate",Sun,"Sand,Loam,Clay",Well drained,Medium,Evergreen,5 to 8m,5 to 10m,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,http://www.anbg.gov.au/photo/apii/name/Acacia+pendula%25,National Herbarium,,,,,,,,Active
41,ACAPOD,Acacia podalyriifolia,Silver Wattle,,Small Tree,300 to 600mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,2 to 5m,3 to 5m,Yellow,Silver ,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/41_acacia_podalyriifolia.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
42,ACALIT,Acacia pravissima 'Little Nugget',Little Nugget,,Shrub,300 to 600mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,0.5 to 1m,1 to 2m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
43,ACASAL,Acacia salicina,Sally Wattle,,Medium Tree,600 to 900mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,5 to 8m,3 to 5m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Heavy,Unknown,Yes,Unknown,Unknown,Yes,images/43_acacia_salicina.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
44,ACASOP,Acacia longifolia subsp. sophorae,Beach Wattle,Acacia sophorae,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Well drained,High,Evergreen,0.5 to 1m,2 to 3m,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Seeds,Yes,Medium,Unknown,Yes,Unknown,Unknown,Yes,images/44_acacia_longifolia_sophorae.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
45,ACACAL,Acalypha callipes,Native Acalypha,,Shrub,1400 to 2000mm,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Dark green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
46,ACAHIS,Acalypha hispida,Red Hot Cats Tails,,Shrub,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,1 to 2m,1 to 2m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Yes,No,Unknown,Unknown,Yes,images/46_acalypha_hispida.jpg,Paul Plant,,,"Skin & eye irritant, harmful if eaten",,,,,Active
47,ACASAN,Acalypha hispida 'Sanderi',Pink Cats Tails,,Shrub,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,1 to 2m,1 to 2m,Pink,Dark green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Yes,No,Unknown,Unknown,Yes,images/47_acalypha_hispida_sanderi.jpg,Arno King,,,,,,,,Active
48,ACARED,Acalypha hispida 'Rubrum',Red Leaf Red Hot Cats Tails,,Shrub,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,1 to 2m,1 to 2m,Red,Bronze,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Yes,No,Unknown,Unknown,Yes,images/48_acalypha_hispida_rubrum.jpg,Paul Plant,,,,,,,,Active
49,ACAALB,Acalypha hispida 'Alba',White Hot Cats Tails,,Shrub,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,1 to 2m,1 to 2m,White,Mid green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
50,ACALYS,Acalypha lyonsii,Waterfall Acalypha,,Shrub,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/50_acalypha_lysonii.jpg,Arno King,,,"Protected plant. See ""About the Waterwise Plant Selector""",,,,,Active
51,ACAREP,Acalypha chamaedrifolia 'Stephie',Summer Love,Acalypha reptans var. pygmaea,Groundcover,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,Under 0.5m,0.5 to 1m,Red,Mid green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,No,Unknown,Unknown,Yes,images/51_acalypha_reptan_var_pygmaea.jpg,Paul Plant,,,,,,,,Active
52,ACACHA,Acalypha chamaedrifolia 'Pink',Pink Summer Love,Acalypha reptans var. pygmaea 'Pink',Groundcover,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Low,Evergreen,Under 0.5m,0.5 to 1m,Pink,Mid green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
53,ACASIA,Acalypha siamensis,Wild Tea,,Shrub,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,No,Unknown,Unknown,Yes,images/53_acalypha_siamensis.jpg,Arno King,,,,,,,,Active
54,ACABRO,Acalypha wilkesiana 'Bronze',Bronze Fijian Fireplant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/54_acalypha_wilkesiana _bronze.jpg,Arno King,,,,,,,,Active
55,ACAGOL,Acalypha wilkesiana 'Green and Gold',Yellow Acalypha,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and yellow,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/55_acalypha_wilkesiana_green_and_gold.jpg,Arno King,,,,,,,,Active
56,ACAMAR,Acalypha wilkesiana 'Marginata',Fijian Fireplant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,"Green, bronze and red",Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/56_acalypha_wilkesiana _marginata.jpg,Arno King,,,Contact with its clear sap may cause dermatitis ,,,,,Active
57,ACACAM,Acalypha wilkesiana 'Camouflage',Camouflage Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze and green,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/57_acalypha_wilkesiana _camouflage.jpg,Arno King,,,"Flowers are small, in racemes or spikes, usually held amongst the foliage.Leaves are green, copper or bronze variously mottled with differing shades and patterns of purple, red, pink, yellow, cream or white. ",,,,,Active
58,ACACAN,Acalypha wilkesiana 'Candyman',Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze and red,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
59,ACACHE,Acalypha wilkesiana 'Cheryl's Choice',Cheryl's Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze and red,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/59_acalypha_wilkesiana_cheryls_choice.jpg,Arno King,,,,,,,,Active
60,ACAWIC,Acalypha wilkesiana 'Compacta',Compact Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/60_acalypha_wilkesiana_compacta.jpg,Arno King,,,,,,,,Active
61,ACAFIR,Acalypha wilkesiana 'Firestorm',Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze and red,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/61_acalypha_wilkesiana_firestorm.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
62,ACAGOD,Acalypha wilkesiana 'Godseffiana',Narrow Fijian Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and yellow,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/62_acalypha_wilkesiana_godseffiana.jpg,Arno King,,,,,,,,Active
63,ACAINF,Acalypha wilkesiana 'Inferno',Inferno,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Bronze and red,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/63_acalapha_wilkesiana_inferno.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
64,ACAJAV,Acalypha wilkesiana 'Java White',Yellow Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and yellow,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
65,ACAWIM,Acalypha wilkesiana 'Macfeeana',MacFee's Fire Plant,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Red and bronze,Unknown,Unknown,No,Unknown,,Yes,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
